,0
0,2
1,7
2,20
3,24
4,44
5,48
6,51
7,55
8,70
9,79
10,80
11,88
12,90
13,94
14,95
15,97
16,100
17,105
18,108
19,113
20,118
21,141
22,149
23,154
24,155
25,164
26,169
27,172
28,174
29,183
30,184
31,204
32,213
33,214
34,216
35,226
36,233
37,244
38,251
39,257
40,258
41,260
42,262
43,271
44,273
45,284
46,289
47,297
48,303
49,308
50,317
51,320
52,322
53,331
54,333
55,337
56,340
57,344
58,350
59,356
60,365
61,366
62,368
63,369
64,370
65,374
66,381
67,388
68,391
69,393
70,396
71,402
72,418
73,428
74,430
75,431
76,439
77,444
78,470
79,476
80,492
81,494
82,497
83,502
84,510
85,516
86,517
87,518
88,519
89,520
90,521
91,522
92,523
93,524
94,525
95,526
96,527
97,528
98,529
99,530
100,531
101,532
102,533
103,534
104,535
105,537
106,539
107,542
108,543
109,544
110,545
111,549
112,550
113,558
114,561
115,565
116,591
117,593
118,599
119,611
120,613
121,617
122,619
123,620
124,623
125,633
126,635
127,636
128,642
129,643
130,671
131,678
132,682
133,684
134,701
135,703
136,706
137,713
138,733
139,734
140,737
141,740
142,742
143,743
144,747
145,748
146,755
147,756
148,757
149,760
150,785
151,797
152,799
153,803
154,807
155,809
156,812
157,813
158,815
159,816
160,817
161,818
162,822
163,823
164,827
165,829
166,833
167,835
168,839
169,844
170,851
171,857
172,859
173,862
174,864
175,869
176,870
177,882
178,891
179,892
180,893
181,894
182,909
183,916
184,920
185,921
186,925
187,927
188,936
189,940
190,942
191,947
192,950
193,955
194,961
195,966
196,976
197,981
198,985
199,999
200,1003
201,1004
202,1007
203,1008
204,1010
205,1021
206,1034
207,1044
208,1048
209,1052
210,1060
211,1061
212,1062
213,1063
214,1064
215,1070
216,1088
217,1095
218,1099
219,1108
220,1114
221,1118
222,1119
223,1122
224,1124
225,1127
226,1133
227,1141
228,1143
229,1147
230,1149
231,1156
232,1169
233,1172
234,1176
235,1178
236,1179
237,1180
238,1182
239,1190
240,1197
241,1208
242,1215
243,1219
244,1220
245,1221
246,1225
247,1226
248,1228
249,1231
250,1233
251,1246
252,1253
253,1257
254,1258
255,1261
256,1262
257,1264
258,1266
259,1271
260,1275
261,1278
262,1282
263,1287
264,1292
265,1299
266,1301
267,1313
268,1315
269,1316
270,1318
271,1322
272,1324
273,1325
274,1335
275,1337
276,1338
277,1348
278,1362
279,1363
280,1364
281,1366
282,1375
283,1385
284,1400
285,1413
286,1418
287,1423
288,1425
289,1435
290,1437
291,1441
292,1442
293,1446
294,1447
295,1448
296,1451
297,1453
298,1459
299,1469
300,1482
301,1483
302,1486
303,1489
304,1515
305,1517
306,1518
307,1522
308,1534
309,1536
310,1552
311,1561
312,1567
313,1573
314,1575
315,1579
316,1583
317,1590
318,1592
319,1601
320,1602
321,1603
322,1604
323,1607
324,1610
325,1627
326,1629
327,1630
328,1632
329,1634
330,1635
331,1642
332,1644
333,1651
334,1659
335,1664
336,1668
337,1672
338,1680
339,1686
340,1690
341,1693
342,1696
343,1705
344,1717
345,1719
346,1725
347,1727
348,1729
349,1732
350,1743
351,1759
352,1790
353,1796
354,1815
355,1819
356,1829
357,1840
358,1846
359,1849
360,1862
361,1863
362,1864
363,1869
364,1870
365,1881
366,1887
367,1901
368,1906
369,1911
370,1916
371,1917
372,1918
373,1919
374,1920
375,1921
376,1922
377,1929
378,1930
379,1931
380,1939
381,1940
382,1944
383,1956
384,1958
385,1965
386,1974
387,1982
388,1988
389,1991
390,2002
391,2005
392,2013
393,2015
394,2018
395,2019
396,2020
397,2022
398,2027
399,2037
400,2038
401,2042
402,2045
403,2047
404,2048
405,2049
406,2067
407,2078
408,2084
409,2086
410,2090
411,2097
412,2104
413,2105
414,2120
415,2124
416,2127
417,2128
418,2130
419,2133
420,2134
421,2144
422,2153
423,2170
424,2172
425,2173
426,2176
427,2179
428,2182
429,2188
430,2194
431,2197
432,2198
433,2199
434,2200
435,2204
436,2206
437,2209
438,2210
439,2212
440,2242
441,2244
442,2252
443,2253
444,2260
445,2268
446,2271
447,2274
448,2278
449,2282
450,2288
451,2296
452,2313
453,2317
454,2324
455,2328
456,2352
457,2357
458,2360
459,2374
460,2388
461,2390
462,2404
463,2408
464,2419
465,2425
466,2428
467,2448
468,2451
469,2452
470,2471
471,2474
472,2475
473,2477
474,2479
475,2483
476,2487
477,2488
478,2490
479,2502
480,2509
481,2512
482,2514
483,2521
484,2528
485,2537
486,2538
487,2547
488,2550
489,2551
490,2558
491,2568
492,2570
493,2573
494,2576
495,2579
496,2587
497,2590
498,2592
499,2593
500,2602
501,2604
502,2608
503,2609
504,2612
505,2613
506,2619
507,2623
508,2635
509,2636
510,2637
511,2640
512,2644
513,2645
514,2646
