PaperId,Abstract
32550a7fa6acab71c96df1aaeb8b62d6fc243847,
5146ddb6fb953f4d955fbcff701ac158d3e89561,
6ec2de4cd27ab63e0a9eb7d0a522c2cba4819a96,
d5ae7c808433e6bba677cbeb02edabcc45f51d22,"The phenomenon of burnout, long thought to occur when a mismatch exists between the nature of a job, and the job that is actually being done, has been the subject of numerous books, articles, and w..."
43ffab5233aa8a4b22950c0f6a9722132a5bc316,"The Irish Journal of Sociology awards a distinguished article each calendar year. This award, adjudicated by an independent committee of experts, is an opportunity to underline work that is exceptional in scope, contribution and relevance to sociology in Ireland and to the discipline more broadly. For a contribution that provides a unique and original perspective that greatly advanced our understanding of food poverty and multiple deprivations in Ireland, we proudly celebrate the following article:"
4f06f9cd0e142d51ca0ad067145c560c8f091589,
7d9a6eaaa4909a47ce9aee5b151347ab0f6f467a,"As we enter 2020, the current editors of the IJS, Mathew J Creighton Thomas Grund, Aogán Mulcahy and Sara O’Sullivan, look forward to the start of the 28th volume and another year of sustaining the best that sociology—inside and outside of Ireland—has to offer. This issue includes four insightful articles that engage with different empirical and theoretical traditions and point to the breadth and depth of the discipline. Our first article, written by Benoı̂t Laplante, Teresa Castro-Mart ın, Clara Cortina and Ana Fostik, considers the trajectory of family formation in Ireland. Considering a post-Catholic landscape, the authors offer strong empirically driven evidence that Ireland is emerging as a very differently patterned landscape. Both how/when families are formed and how they arrange themselves later in the lifecourse are considered. The second article, by John Hall, interrogates and develops a typology of the grammar of social theory. Offering the remarkable claim that there are only three basic sets of assumptions about human social life in modern times, the work ambitiously develops an argument to reveal the basic grammar of how social theory is developed and used. The third provides an in-depth view of social values and civic behaviour among the youth of Ireland. Doing one of the things that sociology does best, Charlotte Silke, Bernadine Brady, Ciara Boylan and Pat Dolan offer an interpretative layer that accounts for social context. This work seeks to understand the inter-play of group-level dynamics and meso-level influences. Finally, Kenjiro Sakakibara reveals the notable variation in the intersection of disability and work exclusion as revealed in the 2011 Irish Census. An engaging use"
cfe369116ba8a35b05173abb58cc367a22783f5d,
f67cfb1dd44ce889e3034a5e00d319ef8d9418a2,"Higher education systems globally have seen major increases in women’s participation and the overall trend in OECD countries has been a transition from the traditional male majority in enrolments to a substantial female majority. Prompted by a recent reversal of this trend, this paper explores gender differences in participation in higher education in 27 OECD countries between 1971 and 2015. While increased participation by women was thought to be part of the solution to persistent gender inequalities we argue that this is not an inevitable outcome. Our argument is based on an analysis of changes in the gender composition of the student population, using available secondary data. We explore how changing gender differentials are linked to the concurrent massification of HE, changing distribution of enrolments by field of study, changes in sex segregation by field, features of national education systems and wider social structural differences related to gender. Our analysis examines the complex interaction between discipline-specific levels of sex segregation and overall levels of gender parity. We argue that that sex segregation needs to be considered alongside women’s long-standing higher participation rates to understand why the latter has not triggered a transformation in the gendered division of labour."
2fe608b81e6f938146489981489f9c6739ba3d33,
