;name;description;referrals;properties;history
0;'Hyper' Rod;"In his specially-modified Seven Deuce Blaster, riot racer ""Hyper"" Rod is a reprogrammed protocol droid who now focuses on the uncivilized task of eliminating his opponents at the Safa Toma Speedway.";;{'Appearances': ['Star Wars: The Bad Batch']};
1;'Quick-Draw' Quasar;"An amalgamation of droid parts, riot racer ""Quick-Draw"" Quasar has the body of a protocol series droid and the head of a B1 battle bot. Painted with a splash of purple and yellow, he puts his strategic programming to work.";;{'Appearances': ['Star Wars: The Bad Batch']};
2;'Steel Claw' Kane;"At the Safa Toma riot races, ""Steel Claw"" Kane routinely works with champion Jet Venim to grab hold of opponents who threaten Venim's pole position. His eponymous gadget is deployed in a maneuver called ""The Crunch,"" violently yanking a second-place racer out of the running.";;{'Appearances': ['Star Wars: The Bad Batch'], 'species': ['Nikto']};
3;'The Trickster' Flash Raktor;"Perhaps riot racer Flash Raktor gets his nickname, ""The Trickster,"" from the dissonance of his programming and profession. Once a protocol droid, with databanks filled with languages and etiquette rules, Flash has been heavily modified to become a contender at the Safa Toma Speedway. ";;{'Appearances': ['Star Wars: The Bad Batch'], 'droid': ['Protocol Droid']};
4;2BR-NTB;Loyal to Norath Kev, the droid 2BR-NTB has a distinct green-and-red paint scheme and sensors attuned to impending danger.;;{'Appearances': ['Star Wars Resistance']};
5;4-LOM;A rusty droid with insectile features, 4-LOM was originally a protocol droid, but logic glitches allowed him to escape his programming and become a bounty hunter. That proved a perfect occupation for the cold, calculating mechanical.;;{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)'], 'Dimensions': ['Height: 1.6m '], 'droid': ['Protocol Droid'], 'Weapons': ['Blaster Rifle']};
6;4D-M1N;When Captain Doza needs guests escorted into Doza Tower or messages relayed to citizens of the Colossus platform, he calls upon his loyal droid 4D-M1N to act as liaison, rarely leaving the gleaming corridors surrounding his private office and living quarters. ;;{'Appearances': ['Star Wars Resistance']};
7;5-L;A mouse droid serving aboard a First Order Star Destroyer, 5-L is briefly reprogrammed to serve Tam Ryvora on a covert mission to return to her friends aboard the Colossus.;;{'Appearances': ['Star Wars Resistance']};
8;8D8;A lanky smelter droid, during the time of the Empire 8D8 assisted EV-9D9 in terrorizing Jabba the Hutt's droid operatives. But after the fall of the Empire, under Boba Fett's employ 8D8 was reassigned to assist with strategy and diplomacy.;;{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Locations': ['Tatooine'], 'Dimensions': ['Height: 1.83m '], 'droid': ['Smelter Droid']};
9;Aayla Secura;With an athletic build, an exotic beauty, and blue skin, Aayla Secura stood out among the many faces of the Jedi ranks. A cunning warrior and Jedi Knight during the rise of the Clone Wars, Aayla fought alongside Clone Commander Bly on many exotic battlefields. Having mastered the emotional detachment necessary in the Jedi Order, she always tried to pass on what she had learned to others. Aayla was killed, along with many other Jedi Generals, when her troops turned on her in reaction to Supreme Chancellor Palpatine’s broadcast of Order 66.    ;['Twi’lek', 'Quinlan Vos', 'Anakin Skywalker', 'Obi-Wan Kenobi', 'Geonosis', 'battle droids', 'Clone Commander Bly', 'Ahsoka Tano', 'Felucia', 'Palpatine'];"{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Locations': ['Ryloth'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.7m '], 'species': [""Twi'lek""], 'Weapons': ['Lightsaber']}";
10;Adi Gallia;Jedi Master Adi Gallia was a member of the Order's High Council during the Clone Wars. She and the other members of that ruling body would convene in a temple high above the Coruscant landscape, deciding important matters of the Jedi. Stern and focused, she would remark upon the more outrageous tactics carried out by Anakin Skywalker or Obi-Wan Kenobi in the course of the war, but would rarely condemn their effective actions. Though not as brash as Anakin, Adi Gallia was known to be an aggressive warrior who had no problem bringing the fight to the enemy.;['Republic', 'Sith', 'Separatist', 'Anakin Skywalker', 'Florrum', 'Obi-Wan Kenobi', 'Savage Opress', 'lightsaber'];{'Appearances': ['Star Wars: The Phantom Menace (Episode I)', 'Star Wars: Attack of the Clones (Episode II)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.74m '], 'species': ['Tholothian'], 'Weapons': ['Lightsaber'], 'Vehicles': ['Jedi Starfighter']};
