Zhongyang He
Jessy Han
William Hobbs
Iain Weaver
Yutao Chen
Tao Jia
Manuel Herranz
Xinyi Wang
Angel Sanchez
Jiyoung Han
Melissa Ellamil
Olga Silyutina
Morgan Frank
Julia Galantai
Robert Mahari
Sarah Bolden
Indrajit Bhattacharya
Hanna Wallach
Brian Uzzi
Camilo Estrada
Kangsan Lee
Christoph Klimmt
Ben Rachunok
Stan Oklobdzija
Agnes Horvat
Samuel Martin-gutierrez
Julie Jiang
Lada Adamic
Mark Whiting
Arram Bae
Phoebe Yao
Yilang Peng
Helen Zeng
Brendan Nyhan
Jane Adams
Kush R. Varshney
Scott Cunningham
Paul Guille-escuret
Marcella Morris
Daniel Straulino
Caterina Gennaioli
Nick Obradovich
Nina Savela
Maurizio Porfiri
Robert Stelter
Tarun Jain
Mauricio Gruppi
Inaki Ucar
Woo Jo
Yi-nung Huang
Yingdan Lu
Francois Lafond
Frank Neumann
Joe Nudell
Guy Stecklov
Yuri A. Amirkhanian
Mariano Beguerisse-diaz
Iain Couzin
Jesse Hoey
Viacheslav A. Shibaev
Chunying Wen
Liangwei Chen
Daniele Rama
Pik-Mai Hui
Daniel Goldstein
Diana Steffen
Amit Goldenberg
Judith Kas
Nick Allum
Myung Cho
Siobhan Grayson
Lukas Richter
Woo-sung Jung
Isabelle Tingzon
Cláudio Vieira
Orsolya Ring
Brooke Welles
Niccolo Pescetelli
Jianliang Yang
Austin Benson
Nikolaus Parulian
Heetae Kim
Jonathan Zong
Alessandro Artoni
Balázs Lengyel
Frank van Tubergen
Xuan Lu
John Lach
Sabin Roman
Shweta Chopra
Aaron Cluaset
Matthieu Nadini
Lushi Chen
Roland von Horn
Brea Perry
Kevin S. Chan
Ana-andreea Stoica
Giovanna Miritello
Nupur Baghel
Lukas Fervers
Sian Brooke
Ger Graus
Xiaowen Dong
Le Mens
Karoline Wiesner
George Barnett
Tara Sowrirajan
Amir Ebrahimi Fard
Gerrit Jan de Bruin
Sune Lehmann
Alla Loseva
Antonio Sirianni
Anne Toonders
Lana Bilalova
Matthewhew Jones
Marinette Savonnet
Stijn Hoorens
Guy Abel
Raj Chetty
Iacopo Pozzana
Carsten Schwemmer
Meeyoung Cha
H
Miguel Guevara
Forough Poursabzi-sangdeh
Alex Pentland
Marita Jacob
Shohei Usui
Michio Hosaka
Mark Levene
Jihye Lee
Guy Melançon
Elizabeth Stowell
Sébastien Lerique
Sahil Loomba
Mark Alfano
Nilam Ram
Itto Kornecki
Cheng-jun Wang
Di Natale
Adam Sawyer
Karoly Bozsonyi
Sung Lee
Sang Hoon Lee
Ian Anderson
Rémi Perrier
Germain Gauthier
Richard Everson
Oceane Boulais
Diego Fregolente Mendes de Oliveira
Niklas Dorner
Alex Arenas
Simon Kuhne
Zohar Neu
Shuang Zhang
Connor Toups
Kara L. Johnson
Ryan Whalen
Aaron Halfaker
Kate Furman
Frauke Kreuter
Matteo Gagliolo
Filippo Simini
Tulin Inkaya
Jichao Li
